# English abstractness lexicon, 0 (fully concrete) .. 100 (fully abstract).
# Derived from the human-rated concreteness norms of Brysbaert, Warriner &
# Kuperman (2014), "Concreteness ratings for 40 thousand generally known
# English word lemmas", Behavior Research Methods 46, 904-911.
# Transform: abstractness = round((5 - Conc.M) / 4 * 100). Single words only;
# words known to fewer than 85% of raters are excluded.
# Curated project-specific additions belong in abstractness_extra_en.tsv
# (same format, one "word<TAB>grade" per line); they override this file.
admin	51
administer	62
administrable	84
administrate	53
administration	56
administrational	73
administrative	72
administratively	77
administrator	28
admirable	80
admirableness	82
admirably	88
admiral	22
admiralship	51
admiration	78
admire	74
admired	79
admirer	52
admiring	81
admiringly	78
admissibility	84
admissible	78
admissibleness	82
admissibly	82
admission	54
admissive	69
admit	67
admittance	68
admitted	79
admittedly	86
admitter	52
admonishingly	81
admonishment	70
adobe	20
adolescence	55
adolescent	38
adolescently	87
adopt	66
adoptability	68
adoptable	55
adopted	65
adoptee	35
adopter	42
adoption	49
adoptive	75
adoptively	84
adorability	90
adorable	78
adorableness	70
adorably	76
adoration	70
adore	66
adorer	56
adoring	66
adoringly	68
adorn	66
adorner	51
adornment	54
adrenal	43
adrenalin	46
adrenaline	49
adrift	57
adult	15
adulterate	56
adulteration	68
adulterer	51
adulteress	32
adulterous	66
adulterously	72
adultery	55
adulthood	62
adultlike	68
adultness	70
advance	61
advanced	79
advancement	72
advancer	63
advancing	60
advantage	75
advantageous	73
advantageously	94
advantageousness	84
advent	63
adventure	60
adventurer	32
adventuresome	80
adventuress	62
adventurist	66
adventurous	76
adventurously	82
adventurousness	84
adverb	69
adversarial	84
adversary	52
adverse	69
adversely	84
adverseness	76
adversity	89
advert	48
advertently	82
advertise	55
advertisement	31
advertiser	27
advertising	28
advertize	35
advice	57
advisability	88
advisable	77
advisably	86
advise	74
advised	64
advisedly	86
advisee	31
advisement	62
adviser	33
advisor	21
advisory	62
advocacy	75
advocate	57
advocator	52
aeration	56
aerator	27
aerial	49
aerialist	29
aerially	50
aerobatics	46
aerobic	46
aerobically	66
aerobics	32
aerodynamic	53
aerodynamics	51
aerographer	21
aeromechanics	51
aeronautic	62
aeronautical	51
aeronautics	48
aerosol	19
aerospace	45
aesthetic	67
aesthetical	82
aesthetically	88
aesthetician	42
aestheticism	80
aesthetics	70
afar	62
affability	86
affable	82
affair	64
affect	77
affectation	76
affected	77
affectedly	77
affectedness	75
affecting	81
affection	70
affectionate	68
affectionately	77
affective	87
affectively	82
affectivity	78
affidavit	25
affiliate	62
affiliation	77
affirm	76
affirmable	75
affirmation	72
affirmative	77
affirmatively	71
affirmer	56
affix	64
affixation	68
afflict	72
afflicted	64
afflicting	65
affliction	68
affluence	71
affluent	79
affluently	83
afford	79
affordability	77
affordable	72
affront	79
affronted	74
afghan	12
aficionado	61
aflame	31
afloat	42
aflutter	62
afoot	63
afore	80
aforementioned	77
afraid	57
afro	12
after	72
afterbirth	11
afterburner	34
aftercare	46
aftereffect	62
afterglow	48
afterhours	46
afterlife	78
aftermarket	36
aftermath	76
aftermost	81
afternoon	32
afternoons	54
afterparty	30
aftersale	57
afterschool	45
aftershave	11
aftershock	33
aftertaste	60
afterthought	74
aftertime	70
aftertimes	70
afterward	69
afterwards	72
afterword	49
afterworld	90
again	75
against	80
age	54
aged	46
agedness	43
ageism	78
ageless	74
agelessness	88
agency	28
agenda	58
agent	35
aggravate	68
aggravated	60
aggravating	78
aggravatingly	76
aggravation	87
aggravator	57
aggregate	72
aggregately	83
aggregation	71
aggregative	73
aggregator	68
aggression	58
aggressive	62
aggressively	69
aggressiveness	60
aggressor	43
aggrieve	82
aggrieved	72
aggrievedly	84
aghast	76
agile	67
agility	66
aging	53
agitate	52
agitated	61
agitatedly	78
agitation	67
agitator	43
aglow	68
agnostic	75
agnostically	95
agnosticism	82
ago	90
agonistic	80
agonize	76
agonizing	75
agonizingly	80
agony	66
agoraphobia	77
agoraphobic	62
agree	67
agreeability	81
agreeable	73
agreeableness	68
agreeably	74
agreed	77
agreeing	63
agreement	70
agricultural	43
agriculturalist	23
agriculturally	65
agriculture	33
agriculturist	49
aground	44
ahead	50
ahem	60
ahoy	75
aid	48
aide	35
aides	31
aidless	74
aids	39
ailing	55
ailment	52
aim	43
aiming	50
aimless	86
aimlessly	78
aimlessness	84
air	22
airbag	5
airbase	18
airbed	11
airboat	4
airborne	39
airbrush	14
aircraft	15
aircraftman	26
aircraftsman	25
aircrew	24
airfare	27
airfield	7
airflow	35
airforce	30
airfreight	24
airhead	63
airiness	69
airing	60
airless	50
airlift	34
airline	25
airliner	14
airmail	34
airman	19
airmanship	62
airpark	28
airplane	1
airplay	45
airport	3
airpower	44
airproof	61
airshaft	14
airship	2
airshow	14
airsick	38
airsickness	43
airspace	36
airspeed	49
airstream	27
airstrike	35
airstrip	8
airtight	40
airtime	62
airwave	47
airway	17
airworthiness	73
airy	74
aisle	16
ajar	43
akin	82
alabaster	30
alarm	13
alarmclock	1
alarmed	46
alarming	73
alarmingly	72
alarmist	60
alas	86
albacore	32
albatross	5
albeit	88
albino	15
album	8
alchemic	57
alchemically	73
alchemist	19
alchemy	72
alcohol	6
alcoholic	41
alcoholically	65
alcoholism	52
alcove	23
alderwoman	27
ale	9
alehouse	15
alert	60
alertly	73
alertness	71
alfalfa	8
algae	2
algebra	46
algebraic	60
algebraically	68
algorithm	48
alias	54
alibi	61
alien	37
alienability	79
alienable	80
alienate	79
alienation	82
alienator	73
aliens	29
alight	51
align	55
alignment	44
alike	66
alikeness	69
alimony	48
alive	46
aliveness	66
alkaline	38
alkalinity	54
alkalinize	65
alkalization	66
alkalize	54
alkaloid	40
all	68
allegation	80
allege	81
allegeable	77
alleged	80
allegedly	84
allegiance	81
allegoric	82
allegorical	87
allegorically	91
allegorist	68
allegory	73
allergen	27
allergenic	64
allergic	61
allergist	25
allergy	33
alleviate	63
alleviation	71
alleviative	74
alleviator	58
alley	4
alleyway	18
alliance	62
allied	66
allies	38
alligator	1
alliterate	64
alliteration	69
allocable	80
allocate	66
allocation	67
allocator	56
allotment	53
allow	65
allowable	71
allowableness	81
allowably	77
allowance	48
alloy	18
allspice	12
allude	80
allure	77
allurer	69
alluring	73
alluringly	78
allusion	86
allusively	82
allusiveness	79
ally	60
almanac	14
almightily	80
almightiness	92
almighty	78
almond	7
almost	84
aloe	4
aloft	59
aloha	60
alone	54
aloneness	81
along	72
alongside	55
aloof	88
aloofly	80
aloofness	71
aloud	48
alpaca	5
alpha	80
alphabet	17
alphabetic	49
alphabetical	48
alphabetically	31
alphabetization	67
alphabetize	47
alphanumeric	51
alphanumerical	42
alpine	32
already	84
alright	77
also	79
altar	4
altarpiece	12
alter	48
alterability	78
alterable	68
alteration	45
altercation	45
alternate	64
alternately	74
alternating	63
alternation	50
alternative	64
alternatively	77
alternativeness	79
alternator	18
although	98
altitude	51
alto	41
altogether	66
altruism	88
altruistic	76
altruistically	89
alum	26
aluminize	62
aluminum	3
alumni	45
always	82
alzheimer	62
am	76
amaretto	10
amass	68
amateur	67
amateurish	77
amateurishly	78
amateurishness	80
amateurism	83
amaze	75
amazed	87
amazedly	89
amazedness	84
amazement	78
amazing	86
amazingly	86
ambassador	18
ambassadorial	81
ambassadorship	58
amber	16
ambiance	67
ambidexterity	44
ambidexterous	42
ambidextrous	34
ambidextrously	46
ambidextrousness	52
ambience	82
ambient	74
ambiguity	92
ambiguous	88
ambiguously	86
ambiguousness	86
ambition	82
ambitionless	74
ambitious	80
ambitiously	80
ambitiousness	80
ambivalence	82
ambivalent	95
amble	46
ambling	64
ambulance	5
